id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
1,-4.194,49.528,-17.574,6.18,-1.101,-0.364,0.534,-0.394,0.199,-0.098,0.038,-0.037,0.028,-0.021
2,-8.388,74.417,-20.884,7.172,-0.624,-0.697,0.613,-0.324,0.089,-0.047,0.011,-0.024,0.006,-0.003
3,-12.582,90.392,-20.36,7.086,0.135,-0.87,0.502,-0.159,-0.024,-0.016,0.002,-0.011,-0.017,0.02
4,-16.775,103.275,-19.661,7.049,0.745,-0.898,0.339,-0.015,-0.061,-0.037,-0.007,0.007,-0.032,0.022
5,-20.969,113.979,-18.967,6.912,1.196,-0.806,0.192,0.082,-0.032,-0.064,-0.016,0.009,-0.044,0.021
6,-25.163,123.098,-18.36,6.752,1.486,-0.638,0.079,0.133,0.02,-0.078,-0.021,0.011,-0.054,0.018
7,-29.357,130.964,-17.768,6.649,1.618,-0.452,-0.001,0.134,0.056,-0.078,-0.015,0.014,-0.047,0.016
8,-33.551,137.786,-17.214,6.6,1.604,-0.264,-0.053,0.103,0.072,-0.082,-0.002,0.021,-0.037,0.02
9,-37.745,143.691,-16.682,6.619,1.458,-0.098,-0.073,0.055,0.069,-0.097,0.018,0.027,-0.03,0.022
10,-41.938,148.802,-16.148,6.73,1.194,0.052,-0.075,0.012,0.054,-0.116,0.039,0.027,-0.022,0.027
11,-46.132,153.2,-15.606,6.924,0.877,0.175,-0.056,-0.022,0.022,-0.138,0.058,0.016,-0.016,0.035
12,-50.326,156.959,-15.059,7.198,0.556,0.282,-0.034,-0.053,-0.015,-0.163,0.071,-0.005,-0.011,0.034
13,-54.52,160.178,-14.528,7.531,0.248,0.368,-0.019,-0.075,-0.048,-0.189,0.076,-0.027,-0.005,0.028
14,-58.714,162.932,-14.022,7.907,-0.037,0.441,-0.02,-0.086,-0.064,-0.211,0.067,-0.046,0.005,0.014
15,-62.908,165.212,-13.587,8.285,-0.294,0.49,-0.047,-0.093,-0.054,-0.226,0.052,-0.055,0.009,-0.005
16,-67.101,167.055,-13.229,8.645,-0.515,0.508,-0.098,-0.097,-0.027,-0.236,0.038,-0.051,0.006,-0.023
17,-71.295,168.491,-12.956,8.977,-0.7,0.495,-0.166,-0.099,0.005,-0.238,0.035,-0.032,0.002,-0.035
18,-75.489,169.565,-12.732,9.288,-0.845,0.456,-0.237,-0.107,0.019,-0.236,0.037,-0.014,-0.003,-0.037
19,-79.683,170.319,-12.53,9.611,-0.937,0.403,-0.295,-0.123,0.002,-0.239,0.03,-0.008,-0.012,-0.034
20,-83.877,170.84,-12.272,9.947,-0.971,0.351,-0.334,-0.14,-0.043,-0.241,0.006,-0.016,-0.027,-0.044
21,-88.071,171.182,-11.953,10.286,-0.976,0.292,-0.361,-0.165,-0.105,-0.231,-0.025,-0.024,0.028,-0.061
22,-92.265,171.375,-11.578,10.599,-1.009,0.194,-0.395,-0.209,-0.177,-0.202,-0.044,-0.012,-0.002,-0.073
23,-96.458,171.445,-11.163,10.796,-1.115,0.019,-0.478,-0.268,-0.244,-0.162,-0.018,0.043,0.053,-0.069
24,-100.982,171.102,-11.004,10.745,-1.338,-0.206,-0.56,-0.298,-0.269,-0.09,0.032,0.102,0.092,-0.081
25,-105.506,170.459,-10.923,10.518,-1.632,-0.434,-0.607,-0.316,-0.294,-0.006,0.104,0.154,0.146,-0.074
26,-110.030 ,169.529,-10.969,10.052,-2.004,-0.672,-0.661,-0.301,-0.319,0.037,0.192,0.234,0.228,-0.024
27,-114.554,168.236,-11.215,9.326,-2.489,-0.923,-0.722,-0.302,-0.385,0.033,0.299,0.323,0.357,0.108
28,-119.077,166.57,11.688,8.409,-3.043,-1.068,-0.725,-0.289,-0.457,-0.003,0.357,0.401,0.507,0.279
29,-123.601,164.72,-12.26,7.434,-3.555,-1.069,-0.651,-0.192,-0.489,-0.046,0.359,0.431,0.664,0.474
30,-128.125,163.034,-12.658,6.597,-3.931,-0.858,-0.454,0.078,-0.276,0.047,0.35,0.447,0.74,0.571
31,-132.32,161.801,-12.66,6.039,-4.208,-0.571,-0.108,0.562,0.229,0.465,0.526,0.505,0.736,0.493
32,-136.514,161.072,-12.242,5.793,-4.29,-0.243,0.087,0.952,0.713,0.805,0.614,0.549,0.68,0.367
33,-140.709,160.56,-11.568,5.825,-4.292,0.069,0.229,"1,242",1.098,1.091,0.677,0.576,0.636,0.281
34,-144.903,160.109,-10.828,6.01,-4.197,0.362,0.289,1.439,1.392,1.274,0.71,0.623,0.613,0.235
35,-149.098,159.509,-10.246,6.25,-4.017,0.641,0.326,1.589,1.591,1.387,0.754,0.695,0.63,0.252
36,-153.292,158.72,-9.86,6.559,-3.767,0.931,0.424,"1,732",1.737,1.507,0.86,0.822,0.707,0.328
37,-157.487,157.822,-9.666,6.925,-3.381,1.291,0.582,1.905,1.888,1.642,1.034,0.994,0.799,0.415
38,-161.681,156.822,-9.573,7.461,-2.856,1.772,0.879,2.127,2.016,1.78,1.215,1.111,0.829,0.426
39,-165.876,155.697,-9.62,8.104,-2.255,2.333,1.241,2.297,2.035,1.802,1.264,1.057,0.701,0.277
40,-170.793,153.23,-10.742,8.157,-2.288,2.356,1.109,1.913,1.581,1.491,1.082,0.88,0.619,0.252
41,-175.71,149.933,-12.708,7.623,-3.079,1.588,0.238,0.827,0.521,0.635,0.456,0.355,0.303,0.071
42,-181.002,147.988,-13.24,8.784,-2.583,1.912,0.344,0.562,0.191,0.365,0.26,0.125,0.194,-0.011
43,-186.293,146.031,-13.712,10.326,-2.062,2.187,0.526,0.401,0.041,0.26,0.183,-0.019,0.166,-0.047
44,191.585,143.531,-14.584,11.836,-1.779,-2.277,0.759,0.375,0.123,0.373,0.287,-0.033,0.233,-0.021
45,-194.731,141.028,-16.015,12.054,-2.27,1.768,0.564,0.136,0.052,0.376,0.341,-0.024,0.287,0.024
46,-197.877,138.49,-17.461,12.335,-2.731,1.272,0.418,-0.081,-0.016,0.351,0.365,-0.061,0.276,0.015
47,-201.627,136.562,-18.11,13.915,-2.314,1.461,0.926,0.081,0.125,0.411,0.404,-0.133,0.25,-0.015
48,-205.377,134.389,-19,15.428,-2.064,1.539,1.453,0.24,0.268,0.492,0.494,-0.139,0.292,0.027
49,-210.209,130.131,-21.537,16.362,-2.982,0.537,1.414,-0.222,-0.041,0.203,0.323,-0.339,0.199,0
50,-215.042,126.24,23.694,17.945,-3.645,-0.334,1.695,-0.434,-0.15,0.131,0.342,-0.445,0.196,0.033
51,-219.375,122.996,-25.308,20.111,-3.859,-1.013,2.103,-0.519,-0.12,0.172,0.415,-0.448,0.218,0.076
52,-223.708,119.466,-27.111,22.641,-3.729,-1.682,2.391,-0.693,-0.097,0.169,0.431,-0.453,0.245,0.114
53,-227.694,115.413,-29.337,25.079,-3.381,-2.151,2.669,-0.975,-0.173,0.087,0.453,-0.453,0.231,0.119
54,-231.681,110.108,-32.512,27.493,-2.69,-2.347,3.077,-1.278,-0.26,-0.081,0.394,-0.453,0.225,0.133
55,-235.667,102.819,-37.416,29.305,-1.806,-1.907,4.014,-1.268,-0.053,-0.194,0.196,-0.558,0.099,0.055
56,-240.897,89.624,-51.12,23.894,-2.759,-3.845,3.644,-1.173,0.18,-0.312,0.569,-0.392,-0.117,0.321
