id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
1,-4.017,47.012,-17.038,6.422,-1.66,-0.04,0.394,-0.323,0.159,-0.063,0.03,-0.02,0.018,-0.023
2,-8.034,74.037,-22.004,8.302,-1.665,-0.376,0.606,-0.422,0.157,-0.055,0.025,-0.029,0.025,-0.026
3,-12.05,89.95,-21.765,8.173,-0.901,0.778,0.729,-0.396,0.08,-0.039,0.018,-0.036,0.019,0.017
4,-16.067,102.599,-21.559,7.977,-0.21,-1.004,0.748,-0.275,-0.005,-0.044,0.029,-0.04,0.006,-0.006
5,-20.084,113.155,-21.264,7.636,0.383,-1.14,0.654,-0.125,-0.036,-0.06,0.048,-0.041,-0.005,0.003
6,-24.101,122.24,-20.924,7.239,0.818,-1.197,0.503,-0.029,-0.037,-0.064,0.062,-0.035,-0.007,0.015
7,-28.117,130.133,-20.544,6.828,1.127,-1.184,0.344,0.012,-0.037,-0.073,0.076,-0.019,-0.006,0.025
8,-32.134,136.986,-20.092,6.46,1.304,-1.121,0.218,0.013,-0.036,-0.079,0.081,-0.003,-0.002,0.031
9,-36.151,142.98,-19.596,6.174,1.352,-1.018,0.124,-0.011,-0.042,-0.086,0.09,-0.002,0.003,0.038
10,-40.168,148.226,-19.068,6.003,1.305,-0.889,0.062,-0.045,-0.058,-0.095,0.096,-0.006,0.005,0.043
11,-44.184,152.799,-18.512,5.936,1.195,-0.751,0.025,-0.081,-0.085,-0.113,0.101,-0.013,0.004,0.039
12,-48.201,156.771,-17.984,5.951,1.04,-0.619,0.01,-0.112,-0.113,-0.137,0.1,-0.025,0.003,0.034
13,-52.218,-160.198,-17.496,6.02,0.852,-0.5,0.003,-0.13,-0.134,-0.162,0.096,-0.037,0,0.026
14,-56.235,163.123,-17.064,6.122,0.633,-0.398,-0.006,-0.136,-0.142,-0.18,0.09,-0.046,-0.002,0.017
15,-60.251,165.598,-16.704,6.243,0.399,-0.316,-0.024,-0.132,0.129,-0.189,0.082,0.051,-0.003,0.006
16,-64.268,167.641,-16.426,6.384,0.162,-0.255,-0.06,-0.119,-0.093,-0.187,0.081,-0.051,-0.004,-0.007
17,-68.285,169.342,-16.18,6.559,-0.047,-0.202,-0.115,-0.113,-0.058,-0.191,0.077,-0.049,-0.005,-0.02
18,-72.302,170.763,-15.928,6.781,-0.206,-0.149,-0.176,-0.118,-0.038,-0.207,0.066,-0.05,-0.011,0.034
19,-76.318,171.926,-15.672,7.064,-0.311,-0.091,-0.242,-0.132,-0.042,-0.241,0.047,-0.061,-0.028,-0.047
20,-80.335,172.91,-15.32,7.413,-0.357,-0.04,-0.307,-0.162,-0.066,-0.282,0.024,-0.071,-0.045,-0.057
21,-84.352,173.675,-14.968,7.761,-0.421,-0.04,-0.385,-0.21,-0.099,-0.306,0.021,-0.06,-0.043,0.055
22,-88.369,174.245,-14.63,8.049,-0.542,-0.11,-0.477,-0.269,-0.128,-0.298,0.05,-0.018,-0.016,-0.044
23,-92.385,174.617,-14.309,8.228,-0.756,-0.266,-0.588,-0.332,-0.14,-0.248,0.116,0.06,0.037,-0.029
24,-96.038,174.504,-14.271,8.177,-1.075,-0.479,-0.671,-0.349,-0.116,-0.163,0.188,0.149,0.095,-0.019
25,-99.691,174.182,-14.283,8.033,-1.44,-0.706,-0.728,-0.353,-0.093,-0.072,0.268,0.241,0.16,0.003
26,-103.344,173.555,-14.424,7.735,-1.866,-0.938,-0.76,-0.364,-0.091,0.003,0.332,0.345,0.251,0.061
27,-106.997,172.646,-14.692,7.326,-2.336,-1.151,-0.76,-0.391,-0.135,0.037,0.376,0.445,0.358,0.155
28,-110.65,171.575,-15.002,6.862,-2.762,-1.289,-0.715,-0.417,-0.227,0.005,0.381,0.518,0.463,0.286
29,-114.303,170.436,-15.273,6.423,-3.075,-1.306,-0.602,-0.382,-0.299,-0.055,0.365,0.569,0.564,0.433
