id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
1,-4.123,51.372,-17.36,4.098,0.581,-1.08,0.671,-0.256,0.066,-0.025,0.015,0.009,-0.004,-0.02
2,-8.246,76.71,-20.699,4.121,1.161,-1.358,0.684,-0.247,0.044,-0.03,0.014,-0.019,0.019,-0.016
3,-12.37,92.147,19.852,3.238,1.756,1.366,0.485,-0.122,-0.015,-0.054,0.033,-0.026,0.009,0.001
4,-16.493,104.52,-18.855,2.665,2.239,-1.267,0.309,-0.045,-0.027,-0.056,0.001,-0.016,-0.007,0.005
5,-20.616,114.803,-17.826,2.173,2.564,-1.113,0.18,-0.002,0.013,-0.069,-0.034,0.007,-0.024,0.001
6,-24.739,123.623,-16.838,1.784,2.768,-0.927,0.086,-0.006,0.081,-0.086,-0.035,0.009,-0.045,-0.001
7,-28.862,131.215,-15.861,1.475,2.839,-0.73,0.016,-0.05,0.131,-0.094,-0.023,0.012,-0.054,0.002
8,-32.986,137.76,-14.956,1.275,2.781,-0.565,-0.023,-0.115,0.146,-0.088,0.01,0.027,-0.048,0.006
9,-37.109,143.39,-14.099,1.174,2.626,-0.428,-0.034,-0.17,0.149,-0.094,0.042,0.042,-0.027,0.005
10,-41.232,148.243,-13.301,1.15,2.402,-0.323,-0.021,-0.207,0.128,-0.105,0.075,0.056,-0.01,0.004
11,-45.355,152.452,-12.57,1.192,2.136,-0.257,0,-0.231,0.086,-0.142,0.096,0.061,0.011,-0.001
12,-49.478,156.147,-11.893,1.298,1.846,-0.213,0.035,-0.234,0.041,-0.195,0.086,0.049,0.031,-0.01
13,-53.601,159.264,-11.261,1.463,1.58,-0.178,0.066,-0.224,0.013,-0.248,0.056,0.031,0.04,-0.016
14,-57.725,161.931,-10.697,1.655,1.353,-0.154,0.084,-0.212,0.001,-0.29,0.024,0.017,0.036,-0.021
15,-61.848,164.16,-10.229,1.849,1.15,-0.134,0.08,-0.205,0.007,-0.314,-0.002,0.001,0.03,-0.033
16,-65.971,165.97,-9.836,2.04,0.98,-0.123,0.06,-0.194,0.041,-0.308,-0.019,-0.003,0.02,-0.043
17,-70.094,167.382,-9.551,2.229,0.831,-0.129,0.027,-0.186,0.075,-0.289,-0.03,0.002,0.013,-0.054
18,-74.217,168.495,-9.326,2.435,0.71,-0.143,-0.017,-0.185,0.1,-0.259,-0.043,0.011,0.005,-0.07
19,-78.341,169.322,-9.134,2.679,0.636,-0.162,-0.065,-0.188,0.099,-0.236,-0.063,0.006,-0.004,-0.079
