id,Z,a0,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
1,-3.845,47.012,-17.038,6.422,-1.660,-0.040,0.394,-0.323,0.159,-0.063,0.030,-0.020,0.018,-0.023
2,-7.690,74.037,-22.004,8.302,-1.665,-0.376,0.606,-0.422,0.157,-0.055,0.025,-0.029,0.025,-0.026
3,-11.535,89.950,-21.765,8.173,-0.901,-0.778,0.729,-0.396,0.080,-0.039,0.018,-0.036,0.019,-0.017
4,-15.379,102.599,-21.559,7.977,-0.210,-1.004,0.748,-0.275,-0.005,-0.044,0.029,-0.040,0.006,-0.006
5,-19.224,113.155,-21.264,7.636,0.383,-1.140,0.64,-0.125,-0.036,-0.060,0.048,-0.041,-0.005,0.003
6,-23.069,122.240,-20.924,7.239,0.818,-1.197,0.503,-0.029,-0.037,-0.064,0.062,-0.035,-0.007,0.015
7,-26.914,130.133,-20.544,6.828,1.127,-1.184,0.344,0.012,-0.037,-0.073,0.076,-0.019,-0.006,0.025
8,-30.759,136.986,-20.092,6.460,1.304,-1.121,0.218,0.013,-0.036,-0.079,0.081,-0.003,-0.002,0.031
9,-34.604,142.980,-19.596,6.174,1.352,-1.018,0.124,-0.011,-0.042,-0.086,0.090,-0.002,0.003,0.038
10,-38.449,148.226,-19.068,6.003,1.305,-0.889,0.062,-0.045,-0.058,-0.095,0.096,-0.006,0.005,0.043
11,-42.293,152.799,-18.512,5.936,1.195,-0.751,0.025,-0.081,-0.085,-0.113,0.101,-0.013,0.004,0.039
12,-46.138,156.771,-17.984,5.951,1.040,-0.619,0.010,-0.112,-0.113,-0.137,0.100,-0.025,0.003,0.034
13,-49.983,160.198,-17.496,6.020,0.852,-0.500,0.003,-0.130,-0.134,-0.162,0.096,-0.037,0.000,0.026
14,-53.828,163.123,-17.046,6.122,0.633,-0.398,-0.006,-0.136,-0.142,-0.180,0.090,-0.046,-0.002,0.017
15,-57.673,165.598,-16.704,6.243,0.399,-0.316,-0.024,-0.132,-0.129,-0.189,0.082,-0.051,-0.003,0.006
16,-61.518,167.641,-16.426,6.384,0.162,-0.255,-0.060,-0.119,-0.093,-0.197,0.081,-0.051,-0.004,-0.007
17,-65.362,169.342,-16.180,6.559,-0.047,-0.202,-0.115,-0.113,-0.058,-0.191,0.077,-0.049,-0.005,-0.020
18,-69.207,170.763,-15.928,6.781,-0.206,-0.149,-0.176,-0.118,-0.038,-0.207,0.066,-0.050,-0.011,-0.034
19,-73.052,171.926,-15.672,7.064,-0.311,-0.091,-0.242,-0.132,-0.042,-0.241,0.047,-0.061,-0.028,-0.047
20,-76.897,172.910,-15.320,7.413,-0.357,-0.040,-0.307,-0.162,-0.066,-0.282,0.024,-0.071,-0.045,-0.057
21,-80.742,173.675,-14.968,7.761,-0.421,-0.040,-0.385,-0.210,-0.099,-0.306,0.021,-0.060,-0.043,-0.055
22,-84.587,174.245,-14.630,8.049,-0.542,-0.110,-0.477,-0.269,-0.128,-0.298,0.050,-0.018,-0.016,-0.044
23,-88.432,174.617,-14.309,8.228,-0.756,-0.266,-0.588,-0.332,-0.140,-0.248,0.116,0.060,0.037,-0.029
24,-91.854,174.504,-14.271,8.177,-1.075,-0.479,-0.671,-0.349,-0.116,-0.163,0.188,0.149,0.095,-0.019
25,-95.277,174.182,-14.283,8.033,-1.440,-0.706,-0.728,-0.353,-0.093,-0.072,0.268,0.241,0.160,0.003
26,-98.700,173.555,-14.424,7.735,-1.866,-0.938,-0.760,-0.364,-0.091,0.003,0.332,0.345,0.251,0.061
27,-102.123,172.646,-14.692,7.326,-2.336,-1.151,-0.760,-0.391,-0.135,0.037,0.376,0.445,0.358,0.155
28,-105.545,171.575,-15.002,6.862,-2.762,-1.289,-0.715,-0.417,-0.227,0.005,0.381,0.518,0.463,0.286
29,-108.968,170.436,-15.273,6.423,-3.075,-1.306,-0.602,-0.382,-0.299,-0.055,0.365,0.569,0.564,0.433
30,-112.391,169.292,-15.470,6.040,-3.327,-1.218,-0.399,-0.277,-0.290,-0.041,0.366,0.604,0.658,0.554
31,-116.645,168.039,-15.465,5.677,-3.536,-0.957,0.040,0.158,0.050,0.239,0.515,0.680,0.715,0.560
32,-120.900,167.233,-15.015,5.541,-3.613,-0.688,0.412,0.610,0.457,0.557,0.669,0.691,0.683,0.490
33,-125.154,166.775,-14.161,5.613,-3.582,-0.441,0.669,0.993,0.869,0.858,0.791,0.682,0.643,0.406
34,-129.409,166.457,-13.082,5.807,-3.506,-0.219,0.811,1.243,1.205,1.103,0.875,0.677,0.616,0.338
35,-133.663,166.142,-11.961,6.024,-3.389,-0.007,0.840,1.384,1.451,1.276,0.941,0.707,0.649,0.333
36,-137.918,165.658,-10.903,6.254,-3.321,0.253,0.860,1.492,1.651,1.423,1.035,0.789,0.753,0.402
37,-142.172,164.936,-9.955,6.555,-3.008,0.606,0.941,1.620,1.857,1.579,1.171,0.942,0.889,0.501
38,-146.427,164.049,-9.084,6.961,-2.665,1.060,1.114,1.797,2.055,1.727,1.313,1.084,0.972,0.542
39,-150.681,162.922,-8.394,7.372,-2.277,1.548,1.289,1.922,2.143,1.757,1.321,1.082,0.896,0.418
40,-155.722,160.466,-8.636,7.146,-2.473,1.517,0.974,1.559,1.751,1.403,1.052,0.889,0.723,0.304
41,-160.763,157.184,-9.713,6.400,-3.244,0.901,0.223,0.714,0.825,0.613,0.453,0.420,0.385,0.099
42,-165.829,153.398,-9.601,7.072,-2.667,1.353,0.389,0.657,0.558,0.341,0.267,0.249,0.222,0.006
43,-170.896,153.398,-9.481,8.025,-2.014,1.814,0.640,0.653,0.362,0.185,0.162,0.118,0.134,-0.040
44,-175.963,151.229,-9.605,9.011,-1.508,2.138,0.876,0.664,0.266,0.210,0.228,0.088,0.164,0.014
45,-179.470,148.868,-10.559,9.602,-1.726,1.811,0.629,0.429,0.099,0.180,0.256,0.087,0.209,0.067
46,-182.978,146.263,-11.696,9.094,-2.017,1.393,0.360,0.213,-0.029,0.175,0.317,0.112,0.261,0.114
47,-186.584,144.412,-12.105,10.110,-1.528,1.599,0.659,0.420,0.129,0.303,0.447,0.129,0.268,0.113
48,-190.189,142.410,-12.593,11.214,-1.074,1.731,0.961,0.586,0.222,0.381,0.529,0.104,0.261,0.114
49,-195.073,138.537,-14.301,11.936,-1.345,1.038,0.695,0.259,-0.117,0.072,0.333,-0.133,0.111,0.025
50,-199.956,134.876,-15.896,13.168,-1.386,0.435,0.655,0.180,-0.223,-0.058,0.310,-0.218,0.056,0.033
51,-204.599,131.643,-17.147,14.902,-1.018,0.008,0.770,0.250,-0.174,-0.057,0.390,-0.205,0.065,0.072
52,-209.241,128.251,-18.496,17.024,-0.368,-0.369,0.930,0.260,-0.146,-0.100,0.449,-0.192,0.066,0.123
53,-213.521,124.525,-20.335,18.968,0.398,-0.701,1.022,0.127,-0.148,-0.233,0.430,-0.190,0.012,0.118
54,-217.800,120.033,-23.020,20.724,1.390,-0.857,1.248,-0.018,-0.166,-0.386,0.356,-0.209,-0.033,0.110
55,-222.079,114.117,-27.246,21.755,2.397,-0.668,1.830,-0.031,-0.057,-0.437,0.283,-0.243,-0.100,0.082
56,-227.205,100.322,-39.845,18.883,0.301,-2.472,2.268,-0.405,0.183,-0.320,0.270,-0.128,-0.161,0.179
